QUAD_NR,D_xupp_SUM_LCs,D_xlow_SUM_LCs,D_yupp_SUM_LCs,D_ylow_SUM_LCs
420001.0,2.744426877655511e-07,3.37371363382308e-05,1.912355960572992e-07,1.7663514844408253e-08
420002.0,1.2087713307915328e-13,3.0772303562492165e-06,1.1490512795442938e-06,3.357684665152876e-08
420003.0,3.4666676546929883e-13,8.911390998402616e-06,1.3761171196110342e-05,9.281436658978492e-05
420004.0,7.996422730699632e-08,6.252612209436594e-07,2.151038112995136e-05,0.00011042758637022136
420005.0,5.983559592405947e-13,1.5487656479617834e-05,6.911641891684354e-05,2.4237136108006845e-05
420006.0,2.969295592106754e-13,5.322323973194844e-06,0.00012409830718129603,4.8147996022001955e-05
420007.0,1.2640947214714031e-14,1.1763718644632877e-06,7.004593236302236e-07,1.6812994233211223e-07
420008.0,1.121959539275556e-13,4.31737261407137e-06,3.844122842200663e-06,9.74250414285208e-07
420009.0,1.5505734867744433e-09,8.072247608585019e-17,3.6291185234319013e-06,5.5901276976814814e-05
420010.0,2.5870047409994758e-05,5.565318387449448e-09,3.364775182521509e-05,0.0004686616676204421
420011.0,7.3297799660858955e-09,2.062205623624133e-18,1.4159300429360804e-10,1.6764257025859522e-08
420012.0,4.401357383049073e-08,2.974451776454795e-18,1.649404853305703e-10,4.234122238953121e-08
420013.0,1.0063432594048274e-20,1.745703390035197e-11,2.1330176072691493e-09,2.7796846628629417e-08
420014.0,5.194257191766348e-19,1.1071932134622687e-09,1.403562868146176e-12,9.951679314067308e-13
420015.0,2.1853416932524176e-17,3.352747865748944e-08,1.766694158205224e-11,2.269939688219931e-10
420016.0,1.9470171230300472e-17,2.67926265990063e-08,4.240792862702027e-11,2.5344192152700295e-12
420017.0,1.5282795096254114e-20,6.175983793431291e-10,6.6748767365324395e-12,6.676738291516785e-14
420018.0,1.5479312234647916e-16,9.294830673289189e-08,2.471689168800604e-10,7.932415790229707e-12
420019.0,4.119318807005889e-14,8.677454228800123e-08,2.1675977149925e-08,1.2590394581218073e-09
420020.0,6.179372055859256e-16,4.095037415676477e-07,5.113406882313683e-09,7.73428865045712e-11
420021.0,2.9597226689786423e-06,8.479476179285624e-07,4.180465373642099e-05,0.00018969310048731365
420022.0,0.00011818787593958101,1.1848216030299174e-06,9.770561030255871e-05,0.00043324375285236464
420023.0,8.292235563986034e-13,1.2020327494273377e-05,4.621529904914625e-05,0.0002757706924624602
420024.0,2.31695018526375e-12,6.45549613339225e-06,4.5788611898659837e-05,0.0002743063712760285
420025.0,7.096127586188032e-13,2.1994328787540687e-06,2.293148833926734e-05,0.00014634372714536053
420026.0,1.0224746400288265e-12,9.691378941195757e-06,3.019168752200855e-05,0.00022263554165355239
420027.0,7.487738913220109e-13,4.679400451670174e-06,1.0826324236665172e-05,5.819562234587517e-05
420028.0,5.584029266953395e-13,3.184649003705111e-06,2.2107668961165025e-06,1.1725337651336765e-05
420029.0,8.119822361989376e-10,7.313459047552034e-10,3.2388033992349846e-08,2.2234028062817488e-10
420030.0,9.87578076322055e-10,4.627622585337245e-09,3.7789307194509526e-08,4.518793960413609e-10
420031.0,0.0003022564070478098,6.621326158237939e-09,9.270973922475954e-07,1.053180626658064e-05
420032.0,4.8868148743961986e-05,3.4510460048011816e-09,1.313397617940284e-06,2.307039517554084e-05
420033.0,5.062893657169698e-10,4.7186620937719344e-09,0.000934481010344151,0.03736793147964327
420034.0,1.054328181045142e-06,5.5769815530898566e-08,0.0007140254756969133,0.03832141750749486
420035.0,2.769557408039597e-08,1.8829949724611345e-10,1.0553738869783715e-08,8.24277456164048e-09
420036.0,5.618088320484533e-10,3.9932144666417836e-10,1.2798786171730887e-08,1.4596979906122416e-09
420037.0,1.4357954962241616e-06,5.156541460825288e-09,1.8306406511124386e-11,8.824364676018729e-10
420038.0,1.1991482755939339e-09,8.831968731775257e-11,3.216340941664952e-11,1.2561141022163093e-09
420039.0,2.2735293040446498e-12,4.829646615228993e-15,3.4709058041191997e-12,3.5634518983820536e-16
420040.0,5.801769267917681e-11,5.5152800621633e-10,2.906002126593437e-12,4.1027713706738286e-11
420041.0,7.208577634306927e-19,1.2629707793251755e-10,0.00045503771622714176,0.008007461184367987
420042.0,5.648822695163057e-20,7.581168583073914e-12,1.7281093963830264e-13,8.480322884990723e-11
420043.0,3.780364362211097e-17,4.439373629502976e-10,2.625177246081105e-06,5.334667330217328e-05
420044.0,7.833894158782928e-17,5.380223519977365e-10,4.905544084363744e-10,7.778379510420284e-09
420045.0,3.759923640340285e-11,3.708199696328942e-18,1.1723473781776746e-10,3.9162490803045584e-09
420046.0,0.0008143824402792812,0.0012336514586536692,3.0768188539226438e-06,4.546545065907907e-05
420047.0,0.013381838383639613,0.003464400944974848,0.001440985042343082,0.025817638283077825
420048.0,2.399876407233954e-09,5.286884441377035e-17,8.195755940744649e-10,2.5039751210418516e-08
420049.0,0.0006837351134270385,0.0020710067607225594,0.0005404695573659776,0.013623094307122325
420050.0,0.004040745942218641,0.016716657915079997,0.0011065393579651522,0.12102721053739551
420051.0,6.980117910236176e-10,3.2487968975485473e-09,8.965120272504873e-05,0.00748678330139847
420052.0,0.009490584925792389,0.03173623322587408,0.0027327034058925873,0.04707615063336195
420053.0,7.481126423950214e-11,4.841762730631623e-13,1.6281527521562194e-07,1.002413598020124e-07
420054.0,8.357385552431368e-14,1.0994039588358586e-15,8.477816620832135e-08,1.3605820063540446e-08
420055.0,9.033686425283398e-12,8.592715058070177e-18,3.322796946114348e-12,4.0031272842747435e-11
420056.0,5.277170623581123e-13,3.079575425381352e-13,1.9211890042909228e-10,8.692819599563839e-10
420057.0,5.076722200922548e-08,6.51066665202034e-16,1.4920996750300192e-09,4.6784345719257284e-08
420058.0,0.015420570298890497,0.000806854952787824,0.0003061519963758984,0.005028312752822755
