QUAD_NR,D_x_SUM_LCs,D_y_SUM_LCs
420001.0,3.781896987083258e-05,6.44657087454806e-05
420002.0,3.625575722685521e-06,7.067756174989495e-05
420003.0,3.5495662939447614e-06,6.828154323176833e-05
420004.0,2.5591431097473114e-05,4.7791255101267486e-05
420005.0,5.7149903011295646e-05,6.122747507612545e-05
420006.0,6.95247149034195e-05,4.675574142786952e-05
420007.0,2.0411296853278545e-06,2.0557202228529095e-05
420008.0,8.098174794933941e-07,5.081361520748053e-05
420009.0,2.2265550796212426e-13,3.326706684688762e-05
420010.0,0.0005753707894750469,0.00011767571129147428
420011.0,1.1975974188155226e-12,8.558263906341785e-05
420012.0,5.065689697011408e-11,4.5810105853796984e-05
420013.0,1.323246526268812e-11,2.7359214753920078e-05
420014.0,2.797345369305432e-09,1.81800949206861e-11
420015.0,1.8655694494047405e-08,7.849493813593301e-08
420016.0,1.2125558631386872e-10,2.9752344394316493e-05
420017.0,5.263990471779756e-08,1.578136630649891e-05
420018.0,1.5431566255216416e-10,5.165840731438557e-10
420019.0,5.007173240642376e-10,2.2362463942152533e-06
420020.0,1.1371140426431891e-08,5.613298963114978e-07
420021.0,0.00014442504046628928,1.609920703641838e-05
420022.0,0.0004356692028985484,1.218412065125829e-05
420023.0,3.6794031249870553e-06,3.848390794206219e-05
420024.0,7.5806961779574455e-06,5.020428416329987e-05
420025.0,3.322202087117061e-06,3.3222747848807446e-05
420026.0,1.0679108585471627e-06,5.019963363824072e-06
420027.0,7.543741477545716e-07,7.4909792554808654e-06
420028.0,1.136164854976569e-06,1.867492514887639e-05
420029.0,4.1950908893779865e-09,5.451072784405131e-06
420030.0,7.765726960486476e-09,1.7674689825769437e-05
420031.0,0.0001324275282668905,5.533928868646506e-06
420032.0,0.00011105261657487477,3.2140402869292543e-06
420033.0,1.4561476924232376e-09,1.954032298025219e-05
420034.0,1.1497934314930634e-06,9.576604226801327e-06
420035.0,1.1738003693888499e-08,6.68743286041225e-07
420036.0,1.2451484663260793e-06,1.4393160944371672e-05
420037.0,1.1623234166353714e-05,2.509177754056712e-08
420038.0,5.084209634157305e-06,1.476916925685129e-05
420039.0,3.1408742005043923e-11,4.381056339787369e-20
420040.0,1.5766826144175576e-05,1.024741630664248e-06
420041.0,4.299906503326139e-12,7.862251743273686e-05
420042.0,2.6832783474385573e-10,4.243826042999601e-07
420043.0,1.7260266838193759e-10,9.123064680010575e-06
420044.0,6.569846429780849e-08,6.399356349558444e-06
420045.0,7.001134391617907e-17,3.0348250629197783e-05
420046.0,0.00019784006642796392,2.9584301597249714e-05
420047.0,0.0032173778321347895,8.1269445452988e-07
420048.0,1.1332424621361083e-14,3.820935611068362e-05
420049.0,3.4017622119331483e-05,8.708452227646736e-05
420050.0,0.00028103630131677467,2.5545423691661495e-05
420051.0,1.386227061774348e-05,6.959835841023504e-05
420052.0,0.0004051967990157735,3.7499682139724587e-07
420053.0,6.9888117298852804e-15,1.6498155365890668e-09
420054.0,1.710981527131861e-26,4.5478856333568394e-05
420055.0,2.4717670654754362e-23,3.487487653722031e-22
420056.0,5.3743079472575875e-06,4.324485359474469e-06
420057.0,1.3196214787666162e-12,7.16006567714736e-05
